"id" "text" "screenname" "isretweet" "retweeted" "created"
"1" "540294407891587072" "Check out Allen B blouse nwt short sleeve career dressy casual animal print sz m #Blouse #Career http://t.co/pJE1x2b8Fi via @eBay" "AndrewzNancyna" FALSE FALSE 1417651199
"2" "540294403315613696" "Check out Hootie &amp; The Blowfish Summer Camp With Trucks Tour 1995 Shirt XL #AllSport #BasicTee http://t.co/DAzUpew5Or via @eBay" "Lksaltbox" FALSE FALSE 1417651198
"3" "540294401935679488" "Check out Disney Mickey Mouse 2 Foot Tall Scarecrow Fall Halloween Plush Stuffed Animal #Disney http://t.co/iR0XWH9fO2 via @eBay" "Loveeveryone88" FALSE FALSE 1417651198
"4" "540294395497431042" "Wall Clock Arts Crafts Mission Stickley Inspired Quarter Sawn Oak Copper 22colors #handmade #custommade  http://t.co/03K4gV48v5 via @eBay" "OacFurniture" FALSE FALSE 1417651196
"5" "540294375641976832" "RT @Kybunker: @auctionrssfeed Sterling Marlin #4 Kodak Back-to-Back Daytona 500 Winner - Racing Champions 1:24  http://t.co/kJHopflnjx via …" "sofia2012" TRUE FALSE 1417651191
"6" "540294370264481792" "....Check out Tommy Hilfiger Monogram Logo Shoulder Bag #TommyHilfiger #ShoulderBag http://t.co/qygVGn9iHr via @eBay" "DJBRKLYNSCHLD" FALSE FALSE 1417651190
"7" "540294367513444352" "RT @sofia2012: Check out J JILL  Long Sleeve V Neck Multi-color 72% Lambswool  Sweater Sz XSP #97641 #JJill http://t.co/gKNQLx9I3r via @eBay" "homespunitems" TRUE FALSE 1417651190
"8" "540294330745749504" "Check out Ocean Inspired Beaded Wooden Hair Stick New Shawl Pin Accessories  #Handmade #HairStick http://t.co/K5q8h0KkSI via @eBay" "gossamerfae" FALSE FALSE 1417651181
"9" "540294319953817601" "Check out Apt 9, ruffle/pleated top, size:S #Apt9 #ButtonDown #Formal #top http://t.co/0FSsrtYVEw via @eBay" "3356joshua" FALSE FALSE 1417651178
"10" "540294314371596288" "Check out Huge Lot of 11 Build A Bear BAB Bears + Bear Clothes + Lots Of  Extras ! http://t.co/zCD3GV3dPm @eBay" "Ingrid224" FALSE FALSE 1417651177
"11" "540294304108138496" "Check out HUGE ELMO SESAME STREET STUFFED ANIMAL 3 FEET RED NYLON CHRISTMAS GIFT DEAL http://t.co/FyvXcxe8cC @eBay" "andrearweir" FALSE FALSE 1417651174
"12" "540294282926907393" "Check out Midwest Cannon Falls Lot of 6 Mixed Christmas Decorations Ornament Lot  http://t.co/lNNJBwo2k4 @eBay" "Ingrid224" FALSE FALSE 1417651169
"13" "540294274634350592" "Check out Kellytoy JUMBO 30\" Gray Teddy Bear Stuffed Grizzly Plush Animal Toy Bow  #Kellytoy http://t.co/BPJ9zilKl8 via @eBay" "creightonsfudge" FALSE FALSE 1417651167
"14" "540294271652204545" "Check out 2012 National Treasures Joe DiMaggio Game Used Jumbo Jersey w/2 Stripes 24 of 25  http://t.co/DrML9SjRtJ via @eBay" "LukeBMoney" FALSE FALSE 1417651167
"15" "540294260285644801" "Check out my listing on @eBay: http://t.co/PFIPoKQnUw via @eBay" "500stockdrawing" FALSE FALSE 1417651164
"16" "540294253013135360" "Check out Oneida Casino Wisconsin 7 $1 Casino Token &amp; 1 1072 Eisenhower Silver Dollar Coin http://t.co/R8XcElxuBY @eBay" "Ingrid224" FALSE FALSE 1417651162
"17" "540294240098471936" "Check out Black &amp; Pink Italian Leather Handbag Purse Fellini Evening Bag #Fellini #EveningBag http://t.co/fz83OaH9zL via @eBay" "Lksaltbox" FALSE FALSE 1417651159
"18" "540294239465115648" "Check out Berek Black &amp; White Lightweight Sweater - Swirls &amp; Rhinestones Size Large  #Berek http://t.co/WwaP8xakgX via @eBay" "Loveeveryone88" FALSE FALSE 1417651159
"19" "540294232431661056" "RT @sparky_town: Check out In Tu It Dress M L 1 Size Green Hand printed Button Front Art Wear Tunic Top #intuit http://t.co/hct3qw5xGH via …" "jctoyzhut" TRUE FALSE 1417651157
"20" "540294224349241345" "Check out Apparatus Mens Leather Biker Bomber Jacket Size M L http://t.co/OjEjAdaFet @eBay" "Ingrid224" FALSE FALSE 1417651155
"21" "540294224122355713" "Check out One World sweater dress tunic multi color acrylic sz s casual work  #OneWorld #Tunic http://t.co/He6vGVjrHT via @eBay" "AndrewzNancyna" FALSE FALSE 1417651155
"22" "540294217382109184" "Check out Peanuts Santa Snoopy Have A Cool Yule T-shirt Mens XL Dark Blue Graphic Tee SS #Peanuts http://t.co/1bcO3qhrU5 via @eBay" "soldiersmom59" FALSE FALSE 1417651154
"23" "540294216308785152" "1932 The Killonian Year Book #Killingly High School #Danielson #Connecticut    http://t.co/PTMdeQFNcM via @eBay" "redalert2010" FALSE FALSE 1417651154
"24" "540294192371494912" "Check out Eileen Fisher blouse button front peach linen/silk career sz L  #EileenFisher #Blouse http://t.co/qAjQwJ3vmz via @eBay" "AndrewzNancyna" FALSE FALSE 1417651148
"25" "540294187069890560" "Check out Dr Scholl's tan moccisan nwot flats loafers sz 8 M #DrScholls #LoafersMoccasins http://t.co/meFn40287C via @eBay" "WvThriftyPicker" FALSE FALSE 1417651147
"26" "540294154555625472" "KEN GRIFFEY, JR 2006 Upper Deck Exquisite SIGNATURE PATCH AUTO JERSEY 02/30 REDS  http://t.co/GQx5tX8Oxv via @eBay" "LukeBMoney" FALSE FALSE 1417651139
"27" "540294151665774592" "Check out Vintage neck ties lot of 7 old multi colors long  #NeckTie http://t.co/gD0R8f6tCh via @eBay" "AndrewzNancyna" FALSE FALSE 1417651138
"28" "540294150638546944" "RT @manyonerise: #VINTAGE #MAPS 1946 WORLD TIME ZONES Rand McNally map Genuine Vintage 20 x 27 poster print #RandMcnally http://t.co/cLDVwv…" "sportparadise" TRUE FALSE 1417651138
"29" "540294138034270209" "Check out Deluxe Black X Large Targeting Range Hunting Bag with Pistol Rug Water Resistant  http://t.co/p0J0HlxU4p via @eBay" "healthbizzz" FALSE FALSE 1417651135
"30" "540294135068889088" "Check out White Biker Striped Rider Jacket Large - Reflector Stripe - last one Large #BIKERGEAR http://t.co/OVtENpDh33 via @eBay" "Loveeveryone88" FALSE FALSE 1417651134
"31" "540294128173465600" "Check out The Bionic Woman game board game Jaime Sommers  http://t.co/b9mOjT7ojW via @eBay" "WvThriftyPicker" FALSE FALSE 1417651132
"32" "540294121953316864" "Check out Banana Republic ugliest sweater Christmas Holidays party sleevessless tunic sz L #Tunic http://t.co/DA1Iy6BRj8 via @eBay" "AndrewzNancyna" FALSE FALSE 1417651131
"33" "540294115343474688" "RT @LornajaneCosign: Check out Vintage 50s 60s Pearl Beaded Clutch Evening Bag  - Bags By Debbie  #Handbag #Glam #EveningBag http://t.co/0m…" "icepackrecords" TRUE FALSE 1417651129
"34" "540294114344849409" "Check out Actual Speeches Of Franklin D. Roosevelt And John F. Kennedy Record  http://t.co/YbQ7Ewa0oa via @eBay" "Lksaltbox" FALSE FALSE 1417651129
"35" "540294088952524800" "Check out Christmas ornaments pair nutcracker tree hanging large sz euc  #Unbranded http://t.co/q2EuaHZK4A via @eBay" "AndrewzNancyna" FALSE FALSE 1417651123
"36" "540294073144180736" "Check out Super Mario Acme 12\" Plush Vintage Nintendo 1988 #Nintendo http://t.co/7mVIt61DuB via @eBay" "creightonsfudge" FALSE FALSE 1417651119
"37" "540294063325315072" "Check out Foxcroft sweater yellow long sleeves 1/2 zipper cotton  casual sz L solid #Foxcroft http://t.co/lepqBOHjVC via @eBay" "AndrewzNancyna" FALSE FALSE 1417651117
"38" "540294059537879040" "Check out Dr Seuss Horton Hears A Hoo Plush Blue Elephant Kohls Cares Stuffed Animal Toy  http://t.co/uTAmW4vtie via @eBay" "soldiersmom59" FALSE FALSE 1417651116
"39" "540294048456511488" "Check out Columbia Womans XL  Radial Sleeve Down Reversible Coat Purple Teal Puffer Winter #Puffer http://t.co/gm4lnoMfxD via @eBay" "WvThriftyPicker" FALSE FALSE 1417651113
"40" "540294033247961088" "Check out DKNY JEANS  sweater dk blue button  casual fall winter 100%  cotton solid sz m #DKNY http://t.co/S0DpE94Xr0 via @eBay" "AndrewzNancyna" FALSE FALSE 1417651110
"41" "540294021298405376" "Check out Seagate Free Agent 250 GB 72000RPM Hard Disk Drive New  #Seagate http://t.co/CnZ2QoUofG via @eBay" "Loveeveryone88" FALSE FALSE 1417651107
"42" "540293995436310529" "Check out CHICO'S top shirt asian red stretchy sz 0 (4-xs) nice! #Chicos #KnitTop #Casual http://t.co/YqoU0KGQd9 via @eBay" "AndrewzNancyna" FALSE FALSE 1417651101
"43" "540293989866696704" "RT @sofia2012: Check out J JILL  Long Sleeve V Neck Multi-color 72% Lambswool  Sweater Sz XSP #97641 #JJill http://t.co/gKNQLx9I3r via @eBay" "jamie2258" TRUE FALSE 1417651100
"44" "540293971767857152" "Brand New Listing!  #HotAirBalloon #Christmas #Ornament Mouse Porcelain Pink Purple #GotPicks http://t.co/fL14yT6a8A via @eBay" "BriansBookhouse" FALSE FALSE 1417651095
"45" "540293967137370112" "Check out New $148 Lauren #RalphLauren Black Striped Wool Lined Pants Trousers 14 #PantsSlacks http://t.co/26qNaHYgZj via @eBay" "GreatDeals4Les" FALSE FALSE 1417651094
